protein,condition,sample,cell,edge_margin_um,min_track_length,n_tracks_raw,n_edge_removed,n_tracks_after_edge,n_tracks_used,median_D,mean_D,median_log10_D,median_track_length
SNAP25,control,2,2,0.5,10,2181,725,1456,1397,0.5857067540872678,1.00802604106789,-0.23231976786905525,16.0
SNAP25,500uM_H2O2_30min,2,3,0.5,10,2121,496,1625,1549,0.5788660204468303,1.0361325939130692,-0.23742194285944282,15.0
SNAP25,Ox_500uM_H2O2,2,3,0.5,10,2739,683,2056,1981,0.520345261536319,0.7992277563342012,-0.28370839593650377,17.0
SNAP25,control,2,3,0.5,10,2811,540,2271,2177,0.5398811002555295,0.8850420790281343,-0.26770187571157267,16.0
Syx,500uM_H2O2_30min,1,1,0.5,10,705,95,610,509,0.28715631182026863,0.5717272183664056,-0.5418816332968424,14.0
Syx,Ox_500uM_H2O2,1,1,0.5,10,493,276,217,185,0.2386746592250826,0.43050934178862027,-0.6221936888396149,13.0
Syx,control,1,1,0.5,10,893,514,379,329,0.2817123006083075,0.5719244869421514,-0.5501941896855699,14.0
Syx,500uM_H2O2_30min,1,2,0.5,10,2187,757,1430,1234,0.35719866501857667,0.7494081372063331,-0.4470915724109319,13.0
Syx,Ox_500uM_H2O2,1,2,0.5,10,2271,976,1295,1124,0.356825406859506,0.7691618232691533,-0.4475444477987547,14.0
Syx,control,1,2,0.5,10,3537,835,2702,2381,0.4782796919436989,0.8627046368563724,-0.3203180591531908,15.0
